original_name,refactored_name,type,package,toolkit,has_hxx,has_cxx
AIS_Point,,File,AIS,TKV3d,Yes,Yes
AIS_PointCloud,,File,AIS,TKV3d,Yes,Yes
AIS_RadiusDimension,,File,AIS,TKV3d,Yes,No
AIS_Relation,,File,AIS,TKV3d,Yes,No
AIS_RotationMode,,File,AIS,TKV3d,Yes,No
AIS_RubberBand,,File,AIS,TKV3d,Yes,Yes
AIS_SelectStatus,,File,AIS,TKV3d,Yes,No
AIS_Selection,,File,AIS,TKV3d,Yes,Yes
AIS_SelectionModesConcurrency,,File,AIS,TKV3d,Yes,No
AIS_SelectionScheme,,File,AIS,TKV3d,Yes,No
AIS_Shape,,File,AIS,TKV3d,Yes,Yes
AIS_SignatureFilter,,File,AIS,TKV3d,Yes,Yes
AIS_StatusOfDetection,,File,AIS,TKV3d,Yes,No
AIS_StatusOfPick,,File,AIS,TKV3d,Yes,No
AIS_SymmetricRelation,,File,AIS,TKV3d,Yes,No
AIS_TangentRelation,,File,AIS,TKV3d,Yes,No
AIS_TextLabel,,File,AIS,TKV3d,Yes,Yes
AIS_TexturedShape,,File,AIS,TKV3d,Yes,Yes
AIS_Triangulation,,File,AIS,TKV3d,Yes,Yes
AIS_Trihedron,,File,AIS,TKV3d,Yes,Yes
AIS_TrihedronOwner,,File,AIS,TKV3d,Yes,Yes
AIS_TrihedronSelectionMode,,File,AIS,TKV3d,Yes,No
AIS_TypeFilter,,File,AIS,TKV3d,Yes,Yes
AIS_TypeOfAttribute,,File,AIS,TKV3d,Yes,No
AIS_TypeOfAxis,,File,AIS,TKV3d,Yes,No
AIS_TypeOfIso,,File,AIS,TKV3d,Yes,No
AIS_TypeOfPlane,,File,AIS,TKV3d,Yes,No
AIS_ViewController,,File,AIS,TKV3d,Yes,Yes
AIS_ViewCube,,File,AIS,TKV3d,Yes,Yes
AIS_ViewInputBuffer,,File,AIS,TKV3d,Yes,No
AIS_WalkDelta,,File,AIS,TKV3d,Yes,No
AIS_XRTrackedDevice,,File,AIS,TKV3d,Yes,Yes
APIHeaderSection_EditHeader,,File,APIHeaderSection,TKDESTEP,Yes,Yes
APIHeaderSection_MakeHeader,,File,APIHeaderSection,TKDESTEP,Yes,Yes
Adaptor2d_Curve2d,,File,Adaptor2d,TKG2d,Yes,Yes
Adaptor2d_Line2d,,File,Adaptor2d,TKG2d,Yes,Yes
Adaptor2d_OffsetCurve,,File,Adaptor2d,TKG2d,Yes,Yes
Adaptor3d_Curve,,File,Adaptor3d,TKG3d,Yes,Yes
Adaptor3d_CurveOnSurface,,File,Adaptor3d,TKG3d,Yes,Yes
Adaptor3d_HSurfaceTool,,File,Adaptor3d,TKG3d,Yes,Yes
Adaptor3d_HVertex,,File,Adaptor3d,TKG3d,Yes,Yes
Adaptor3d_InterFunc,,File,Adaptor3d,TKG3d,Yes,Yes
Adaptor3d_IsoCurve,,File,Adaptor3d,TKG3d,Yes,Yes
Adaptor3d_Surface,,File,Adaptor3d,TKG3d,Yes,Yes
Adaptor3d_TopolTool,,File,Adaptor3d,TKG3d,Yes,Yes
AdvApp2Var_ApproxAFunc2Var,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_ApproxF2var,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_Context,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_Criterion,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_CriterionRepartition,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_CriterionType,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_Data,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_Data_0,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_1,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_2,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_3,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_4,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_5,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_6,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_7,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Data_f2c,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_EvaluatorFunc2Var,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_Framework,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_Iso,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_MathBase,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_MathBase_mathinit,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApp2Var_Network,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_Node,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_Patch,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_SequenceOfNode,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_SequenceOfPatch,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_SequenceOfStrip,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_Strip,,File,AdvApp2Var,TKGeomBase,Yes,No
AdvApp2Var_SysBase,,File,AdvApp2Var,TKGeomBase,Yes,Yes
AdvApp2Var_SysBase_baseinit,,File,AdvApp2Var,TKGeomBase,No,Yes
AdvApprox_ApproxAFunction,,File,AdvApprox,TKG3d,Yes,Yes
AdvApprox_Cutting,,File,AdvApprox,TKG3d,Yes,Yes
AdvApprox_DichoCutting,,File,AdvApprox,TKG3d,Yes,Yes
AdvApprox_EvaluatorFunction,,File,AdvApprox,TKG3d,Yes,No
AdvApprox_PrefAndRec,,File,AdvApprox,TKG3d,Yes,Yes
AdvApprox_PrefCutting,,File,AdvApprox,TKG3d,Yes,Yes
AdvApprox_SimpleApprox,,File,AdvApprox,TKG3d,Yes,Yes
AppBlend_Approx,,File,AppBlend,TKGeomAlgo,Yes,Yes
AppBlend_Debug,,File,AppBlend,TKGeomAlgo,No,Yes
AppCont_ContMatrices,,File,AppCont,TKGeomBase,Yes,Yes
AppCont_ContMatrices_1,,File,AppCont,TKGeomBase,No,Yes
AppCont_ContMatrices_2,,File,AppCont,TKGeomBase,No,Yes
AppCont_ContMatrices_3,,File,AppCont,TKGeomBase,No,Yes
AppCont_ContMatrices_4,,File,AppCont,TKGeomBase,No,Yes
AppCont_Function,,File,AppCont,TKGeomBase,Yes,No
AppCont_LeastSquare,,File,AppCont,TKGeomBase,Yes,Yes
AppDef_Array1OfMultiPointConstraint,,File,AppDef,TKGeomBase,Yes,No
AppDef_BSpGradient_BFGSOfMyBSplGradientOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_BSpGradient_BFGSOfMyBSplGradientOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_BSpParFunctionOfMyBSplGradientOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_BSpParFunctionOfMyBSplGradientOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_BSpParLeastSquareOfMyBSplGradientOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_BSpParLeastSquareOfMyBSplGradientOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_BSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_BSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_Compute,,File,AppDef,TKGeomBase,Yes,No
AppDef_Compute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_Gradient_BFGSOfMyGradientOfCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_Gradient_BFGSOfMyGradientOfCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_Gradient_BFGSOfMyGradientbisOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_Gradient_BFGSOfMyGradientbisOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_Gradient_BFGSOfTheGradient,,File,AppDef,TKGeomBase,Yes,No
AppDef_Gradient_BFGSOfTheGradient_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_HArray1OfMultiPointConstraint,,File,AppDef,TKGeomBase,Yes,No
AppDef_LinearCriteria,,File,AppDef,TKGeomBase,Yes,Yes
AppDef_MultiLine,,File,AppDef,TKGeomBase,Yes,Yes
AppDef_MultiPointConstraint,,File,AppDef,TKGeomBase,Yes,Yes
AppDef_MyBSplGradientOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_MyBSplGradientOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_MyGradientOfCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_MyGradientOfCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_MyGradientbisOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_MyGradientbisOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_MyLineTool,,File,AppDef,TKGeomBase,Yes,Yes
AppDef_ParFunctionOfMyGradientOfCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_ParFunctionOfMyGradientOfCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ParFunctionOfMyGradientbisOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_ParFunctionOfMyGradientbisOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ParFunctionOfTheGradient,,File,AppDef,TKGeomBase,Yes,No
AppDef_ParFunctionOfTheGradient_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ParLeastSquareOfMyGradientOfCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_ParLeastSquareOfMyGradientOfCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ParLeastSquareOfMyGradientbisOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_ParLeastSquareOfMyGradientbisOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ParLeastSquareOfTheGradient,,File,AppDef,TKGeomBase,Yes,No
AppDef_ParLeastSquareOfTheGradient_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ResConstraintOfMyGradientOfCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_ResConstraintOfMyGradientOfCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ResConstraintOfMyGradientbisOfBSplineCompute,,File,AppDef,TKGeomBase,Yes,No
AppDef_ResConstraintOfMyGradientbisOfBSplineCompute_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_ResConstraintOfTheGradient,,File,AppDef,TKGeomBase,Yes,No
AppDef_ResConstraintOfTheGradient_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_SmoothCriterion,,File,AppDef,TKGeomBase,Yes,Yes
AppDef_TheFunction,,File,AppDef,TKGeomBase,Yes,No
AppDef_TheFunction_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_TheGradient,,File,AppDef,TKGeomBase,Yes,No
AppDef_TheGradient_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_TheLeastSquares,,File,AppDef,TKGeomBase,Yes,No
AppDef_TheLeastSquares_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_TheResol,,File,AppDef,TKGeomBase,Yes,No
AppDef_TheResol_0,,File,AppDef,TKGeomBase,No,Yes
AppDef_Variational,,File,AppDef,TKGeomBase,Yes,Yes
AppParCurves,,File,AppParCurves,TKGeomBase,Yes,Yes
AppParCurves_Array1OfConstraintCouple,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_Array1OfMultiBSpCurve,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_Array1OfMultiCurve,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_Array1OfMultiPoint,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_Constraint,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_ConstraintCouple,,File,AppParCurves,TKGeomBase,Yes,Yes
AppParCurves_HArray1OfConstraintCouple,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_HArray1OfMultiBSpCurve,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_HArray1OfMultiCurve,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_HArray1OfMultiPoint,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_MultiBSpCurve,,File,AppParCurves,TKGeomBase,Yes,Yes
AppParCurves_MultiCurve,,File,AppParCurves,TKGeomBase,Yes,Yes
AppParCurves_MultiPoint,,File,AppParCurves,TKGeomBase,Yes,Yes
AppParCurves_SequenceOfMultiBSpCurve,,File,AppParCurves,TKGeomBase,Yes,No
AppParCurves_SequenceOfMultiCurve,,File,AppParCurves,TKGeomBase,Yes,No
AppStdL_Application,,File,AppStdL,TKLCAF,Yes,Yes
AppStd_Application,,File,AppStd,TKCAF,Yes,Yes
ApproxInt_KnotTools,,File,ApproxInt,TKGeomAlgo,Yes,Yes
ApproxInt_SvSurfaces,,File,ApproxInt,TKGeomAlgo,Yes,Yes
Approx_Array1OfAdHSurface,,File,Approx,TKGeomBase,Yes,No
Approx_Array1OfGTrsf2d,,File,Approx,TKGeomBase,Yes,No
Approx_Curve2d,,File,Approx,TKGeomBase,Yes,Yes
Approx_Curve3d,,File,Approx,TKGeomBase,Yes,Yes
Approx_CurveOnSurface,,File,Approx,TKGeomBase,Yes,Yes
Approx_CurvilinearParameter,,File,Approx,TKGeomBase,Yes,Yes
Approx_CurvlinFunc,,File,Approx,TKGeomBase,Yes,Yes
Approx_FitAndDivide,,File,Approx,TKGeomBase,Yes,No
Approx_FitAndDivide2d,,File,Approx,TKGeomBase,Yes,No
Approx_FitAndDivide2d_0,,File,Approx,TKGeomBase,No,Yes
Approx_FitAndDivide_0,,File,Approx,TKGeomBase,No,Yes
Approx_HArray1OfAdHSurface,,File,Approx,TKGeomBase,Yes,No
Approx_HArray1OfGTrsf2d,,File,Approx,TKGeomBase,Yes,No
Approx_MCurvesToBSpCurve,,File,Approx,TKGeomBase,Yes,Yes
Approx_ParametrizationType,,File,Approx,TKGeomBase,Yes,No
Approx_SameParameter,,File,Approx,TKGeomBase,Yes,Yes
Approx_SequenceOfHArray1OfReal,,File,Approx,TKGeomBase,Yes,No
Approx_Status,,File,Approx,TKGeomBase,Yes,No
Approx_SweepApproximation,,File,Approx,TKGeomBase,Yes,Yes
Approx_SweepFunction,,File,Approx,TKGeomBase,Yes,Yes
Aspect_AspectFillAreaDefinitionError,,File,Aspect,TKService,Yes,No
Aspect_AspectLineDefinitionError,,File,Aspect,TKService,Yes,No
Aspect_AspectMarkerDefinitionError,,File,Aspect,TKService,Yes,No
Aspect_Background,,File,Aspect,TKService,Yes,Yes
Aspect_CircularGrid,,File,Aspect,TKService,Yes,Yes
Aspect_ColorSpace,,File,Aspect,TKService,Yes,No
Aspect_Display,,File,Aspect,TKService,Yes,No
Aspect_DisplayConnection,,File,Aspect,TKService,Yes,Yes
Aspect_DisplayConnectionDefinitionError,,File,Aspect,TKService,Yes,No
Aspect_Drawable,,File,Aspect,TKService,Yes,No
Aspect_Eye,,File,Aspect,TKService,Yes,No
Aspect_FBConfig,,File,Aspect,TKService,Yes,No
Aspect_FillMethod,,File,Aspect,TKService,Yes,No
Aspect_FrustumLRBT,,File,Aspect,TKService,Yes,No
Aspect_GenId,,File,Aspect,TKService,Yes,Yes
Aspect_GradientBackground,,File,Aspect,TKService,Yes,Yes
Aspect_GradientFillMethod,,File,Aspect,TKService,Yes,No
Aspect_GraphicDeviceDefinitionError,,File,Aspect,TKService,Yes,No
Aspect_GraphicsLibrary,,File,Aspect,TKService,Yes,No
Aspect_Grid,,File,Aspect,TKService,Yes,Yes
Aspect_GridDrawMode,,File,Aspect,TKService,Yes,No
Aspect_GridType,,File,Aspect,TKService,Yes,No
Aspect_Handle,,File,Aspect,TKService,Yes,No
Aspect_HatchStyle,,File,Aspect,TKService,Yes,No
Aspect_IdentDefinitionError,,File,Aspect,TKService,Yes,No
Aspect_InteriorStyle,,File,Aspect,TKService,Yes,No
Aspect_NeutralWindow,,File,Aspect,TKService,Yes,Yes
Aspect_OpenVRSession,,File,Aspect,TKService,Yes,Yes
Aspect_PolygonOffsetMode,,File,Aspect,TKService,Yes,No
Aspect_RectangularGrid,,File,Aspect,TKService,Yes,Yes
Aspect_RenderingContext,,File,Aspect,TKService,Yes,No
Aspect_ScrollDelta,,File,Aspect,TKService,Yes,No
Aspect_SequenceOfColor,,File,Aspect,TKService,Yes,No
Aspect_SkydomeBackground,,File,Aspect,TKService,Yes,Yes
Aspect_Touch,,File,Aspect,TKService,Yes,No
Aspect_TouchMap,,File,Aspect,TKService,Yes,No
Aspect_TrackedDevicePose,,File,Aspect,TKService,Yes,No
Aspect_TypeOfColorScaleData,,File,Aspect,TKService,Yes,No
Aspect_TypeOfColorScaleOrientation,,File,Aspect,TKService,Yes,No
Aspect_TypeOfColorScalePosition,,File,Aspect,TKService,Yes,No
Aspect_TypeOfDeflection,,File,Aspect,TKService,Yes,No
Aspect_TypeOfDisplayText,,File,Aspect,TKService,Yes,No
Aspect_TypeOfFacingModel,,File,Aspect,TKService,Yes,No
Aspect_TypeOfHighlightMethod,,File,Aspect,TKService,Yes,No
Aspect_TypeOfLine,,File,Aspect,TKService,Yes,No
Aspect_TypeOfMarker,,File,Aspect,TKService,Yes,No
Aspect_TypeOfResize,,File,Aspect,TKService,Yes,No
Aspect_TypeOfStyleText,,File,Aspect,TKService,Yes,No
Aspect_TypeOfTriedronPosition,,File,Aspect,TKService,Yes,No
Aspect_Units,,File,Aspect,TKService,Yes,No
Aspect_VKey,,File,Aspect,TKService,Yes,No
Aspect_VKeyFlags,,File,Aspect,TKService,Yes,No
Aspect_VKeySet,,File,Aspect,TKService,Yes,Yes
Aspect_WidthOfLine,,File,Aspect,TKService,Yes,No
Aspect_Window,,File,Aspect,TKService,Yes,Yes
Aspect_WindowDefinitionError,,File,Aspect,TKService,Yes,No
Aspect_WindowError,,File,Aspect,TKService,Yes,No
Aspect_WindowInputListener,,File,Aspect,TKService,Yes,Yes
Aspect_XAtom,,File,Aspect,TKService,Yes,No
Aspect_XRAction,,File,Aspect,TKService,Yes,No
Aspect_XRActionSet,,File,Aspect,TKService,Yes,No
Aspect_XRActionType,,File,Aspect,TKService,Yes,No
Aspect_XRAnalogActionData,,File,Aspect,TKService,Yes,No
Aspect_XRDigitalActionData,,File,Aspect,TKService,Yes,No
Aspect_XRGenericAction,,File,Aspect,TKService,Yes,No
Aspect_XRHapticActionData,,File,Aspect,TKService,Yes,No
Aspect_XRPoseActionData,,File,Aspect,TKService,Yes,No
Aspect_XRSession,,File,Aspect,TKService,Yes,Yes
Aspect_XRTrackedDeviceRole,,File,Aspect,TKService,Yes,No
BOPAlgo_Alerts,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_Algo,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_ArgumentAnalyzer,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_BOP,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_Builder,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_BuilderArea,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_BuilderFace,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_BuilderShape,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_BuilderSolid,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_Builder_1,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_Builder_2,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_Builder_3,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_Builder_4,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_CellsBuilder,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_CheckResult,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_CheckStatus,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_CheckerSI,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_CheckerSI_1,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_GlueEnum,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_ListOfCheckResult,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_MakeConnected,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_MakePeriodic,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_MakerVolume,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_Operation,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_Options,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_PArgumentAnalyzer,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_PBOP,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_PBuilder,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_PPaveFiller,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_PSection,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_PWireEdgeSet,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_PaveFiller,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_PaveFiller_1,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_10,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_11,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_2,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_3,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_4,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_5,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_6,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_7,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_8,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_PaveFiller_9,,File,BOPAlgo,TKBO,No,Yes
BOPAlgo_RemoveFeatures,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_Section,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_SectionAttribute,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_ShellSplitter,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_Splitter,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_Tools,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_ToolsProvider,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_WireEdgeSet,,File,BOPAlgo,TKBO,Yes,No
BOPAlgo_WireSplitter,,File,BOPAlgo,TKBO,Yes,Yes
BOPAlgo_WireSplitter_1,,File,BOPAlgo,TKBO,No,Yes
BOPDS_CommonBlock,,File,BOPDS,TKBO,Yes,Yes
BOPDS_CoupleOfPaveBlocks,,File,BOPDS,TKBO,Yes,No
BOPDS_Curve,,File,BOPDS,TKBO,Yes,No
BOPDS_DS,,File,BOPDS,TKBO,Yes,Yes
BOPDS_DataMapOfIntegerListOfPaveBlock,,File,BOPDS,TKBO,Yes,No
BOPDS_DataMapOfPaveBlockCommonBlock,,File,BOPDS,TKBO,Yes,No
BOPDS_DataMapOfPaveBlockListOfInteger,,File,BOPDS,TKBO,Yes,No
