entity_type,original_name,refactored_name,full_name,namespace,package,toolkit,metadata
Toolkit,TKViewerTest,,TKViewerTest,,,,packages=1
Toolkit,TKXCAF,,TKXCAF,,,,packages=6
Toolkit,TKXDEDRAW,,TKXDEDRAW,,,,packages=1
Toolkit,TKXMesh,,TKXMesh,,,,packages=1
Toolkit,TKXSBase,,TKXSBase,,,,packages=9
Toolkit,TKXSDRAW,,TKXSDRAW,,,,packages=1
Toolkit,TKXSDRAWDE,,TKXSDRAWDE,,,,packages=1
Toolkit,TKXSDRAWGLTF,,TKXSDRAWGLTF,,,,packages=1
Toolkit,TKXSDRAWIGES,,TKXSDRAWIGES,,,,packages=1
Toolkit,TKXSDRAWOBJ,,TKXSDRAWOBJ,,,,packages=1
Toolkit,TKXSDRAWPLY,,TKXSDRAWPLY,,,,packages=1
Toolkit,TKXSDRAWSTEP,,TKXSDRAWSTEP,,,,packages=1
Toolkit,TKXSDRAWSTL,,TKXSDRAWSTL,,,,packages=1
Toolkit,TKXSDRAWVRML,,TKXSDRAWVRML,,,,packages=1
Toolkit,TKXml,,TKXml,,,,packages=3
Toolkit,TKXmlL,,TKXmlL,,,,packages=6
Toolkit,TKXmlTObj,,TKXmlTObj,,,,packages=1
Toolkit,TKXmlXCAF,,TKXmlXCAF,,,,packages=2
Toolkit,TKernel,,TKernel,,,,packages=18
Package,AIS,,AIS,,AIS,TKV3d,files=95
Package,APIHeaderSection,,APIHeaderSection,,APIHeaderSection,TKDESTEP,files=2
Package,Adaptor2d,,Adaptor2d,,Adaptor2d,TKG2d,files=3
Package,Adaptor3d,,Adaptor3d,,Adaptor3d,TKG3d,files=8
Package,AdvApp2Var,,AdvApp2Var,,AdvApp2Var,TKGeomBase,files=30
Package,AdvApprox,,AdvApprox,,AdvApprox,TKG3d,files=7
Package,AppBlend,,AppBlend,,AppBlend,TKGeomAlgo,files=2
Package,AppCont,,AppCont,,AppCont,TKGeomBase,files=7
Package,AppDef,,AppDef,,AppDef,TKGeomBase,files=56
Package,AppParCurves,,AppParCurves,,AppParCurves,TKGeomBase,files=16
Package,AppStd,,AppStd,,AppStd,TKCAF,files=1
Package,AppStdL,,AppStdL,,AppStdL,TKLCAF,files=1
Package,Approx,,Approx,,Approx,TKGeomBase,files=20
Package,ApproxInt,,ApproxInt,,ApproxInt,TKGeomAlgo,files=2
Package,Aspect,,Aspect,,Aspect,TKService,files=69
Package,BOPAlgo,,BOPAlgo,,BOPAlgo,TKBO,files=53
Package,BOPDS,,BOPDS,,BOPDS,TKBO,files=53
Package,BOPTest,,BOPTest,,BOPTest,TKTopTest,files=17
Package,BOPTools,,BOPTools,,BOPTools,TKBO,files=17
Package,BRep,,BRep,,BRep,TKBRep,files=25
Package,BRepAdaptor,,BRepAdaptor,,BRepAdaptor,TKBRep,files=6
Package,BRepAlgo,,BRepAlgo,,BRepAlgo,TKBool,files=7
Package,BRepAlgoAPI,,BRepAlgoAPI,,BRepAlgoAPI,TKBO,files=10
Package,BRepApprox,,BRepApprox,,BRepApprox,TKTopAlgo,files=49
Package,BRepBlend,,BRepBlend,,BRepBlend,TKFillet,files=44
Package,BRepBndLib,,BRepBndLib,,BRepBndLib,TKTopAlgo,files=2
Package,BRepBuilderAPI,,BRepBuilderAPI,,BRepBuilderAPI,TKTopAlgo,files=31
Package,BRepCheck,,BRepCheck,,BRepCheck,TKTopAlgo,files=14
Package,BRepClass,,BRepClass,,BRepClass,TKTopAlgo,files=10
Package,BRepClass3d,,BRepClass3d,,BRepClass3d,TKTopAlgo,files=9
Package,BRepExtrema,,BRepExtrema,,BRepExtrema,TKTopAlgo,files=20
Package,BRepFeat,,BRepFeat,,BRepFeat,TKFeat,files=17
Package,BRepFill,,BRepFill,,BRepFill,TKBool,files=55
Package,BRepFilletAPI,,BRepFilletAPI,,BRepFilletAPI,TKFillet,files=4
Package,BRepGProp,,BRepGProp,,BRepGProp,TKTopAlgo,files=13
Package,BRepIntCurveSurface,,BRepIntCurveSurface,,BRepIntCurveSurface,TKTopAlgo,files=1
Package,BRepLProp,,BRepLProp,,BRepLProp,TKBRep,files=7
Package,BRepLib,,BRepLib,,BRepLib,TKTopAlgo,files=24
Package,BRepMAT2d,,BRepMAT2d,,BRepMAT2d,TKTopAlgo,files=7
Package,BRepMesh,,BRepMesh,,BRepMesh,TKMesh,files=60
Package,BRepMeshData,,BRepMeshData,,BRepMeshData,TKMesh,files=6
Package,BRepOffset,,BRepOffset,,BRepOffset,TKOffset,files=23
Package,BRepOffsetAPI,,BRepOffsetAPI,,BRepOffsetAPI,TKOffset,files=16
Package,BRepPreviewAPI,,BRepPreviewAPI,,BRepPreviewAPI,TKPrim,files=1
Package,BRepPrim,,BRepPrim,,BRepPrim,TKPrim,files=11
Package,BRepPrimAPI,,BRepPrimAPI,,BRepPrimAPI,TKPrim,files=12
Package,BRepProj,,BRepProj,,BRepProj,TKBool,files=1
Package,BRepSweep,,BRepSweep,,BRepSweep,TKPrim,files=9
Package,BRepTest,,BRepTest,,BRepTest,TKTopTest,files=22
Package,BRepToIGES,,BRepToIGES,,BRepToIGES,TKDEIGES,files=4
Package,BRepToIGESBRep,,BRepToIGESBRep,,BRepToIGESBRep,TKDEIGES,files=1
Package,BRepTools,,BRepTools,,BRepTools,TKBRep,files=17
Package,BRepTopAdaptor,,BRepTopAdaptor,,BRepTopAdaptor,TKTopAlgo,files=7
Package,BSplCLib,,BSplCLib,,BSplCLib,TKMath,files=10
Package,BSplSLib,,BSplSLib,,BSplSLib,TKMath,files=4
Package,BVH,,BVH,,BVH,TKMath,files=35
Package,BiTgte,,BiTgte,,BiTgte,TKOffset,files=4
Package,BinDrivers,,BinDrivers,,BinDrivers,TKBin,files=4
Package,BinLDrivers,,BinLDrivers,,BinLDrivers,TKBinL,files=6
Package,BinMDF,,BinMDF,,BinMDF,TKBinL,files=11
Package,BinMDataStd,,BinMDataStd,,BinMDataStd,TKBinL,files=23
Package,BinMDataXtd,,BinMDataXtd,,BinMDataXtd,TKBin,files=7
Package,BinMDocStd,,BinMDocStd,,BinMDocStd,TKBinL,files=2
Package,BinMFunction,,BinMFunction,,BinMFunction,TKBinL,files=4
Package,BinMNaming,,BinMNaming,,BinMNaming,TKBin,files=3
Package,BinMXCAFDoc,,BinMXCAFDoc,,BinMXCAFDoc,TKBinXCAF,files=15
Package,BinObjMgt,,BinObjMgt,,BinObjMgt,TKBinL,files=10
Package,BinTObjDrivers,,BinTObjDrivers,,BinTObjDrivers,TKBinTObj,files=8
Package,BinTools,,BinTools,,BinTools,TKBRep,files=14
Package,BinXCAFDrivers,,BinXCAFDrivers,,BinXCAFDrivers,TKBinXCAF,files=3
Package,Bisector,,Bisector,,Bisector,TKTopAlgo,files=11
Package,Blend,,Blend,,Blend,TKFillet,files=14
Package,BlendFunc,,BlendFunc,,BlendFunc,TKFillet,files=22
Package,Bnd,,Bnd,,Bnd,TKMath,files=23
Package,BndLib,,BndLib,,BndLib,TKGeomBase,files=4
Package,CDF,,CDF,,CDF,TKCDF,files=12
Package,CDM,,CDM,,CDM,TKCDF,files=16
Package,CPnts,,CPnts,,CPnts,TKGeomBase,files=5
Package,CSLib,,CSLib,,CSLib,TKMath,files=5
Package,ChFi2d,,ChFi2d,,ChFi2d,TKFillet,files=8
Package,ChFi3d,,ChFi3d,,ChFi3d,TKFillet,files=20
Package,ChFiDS,,ChFiDS,,ChFiDS,TKFillet,files=30
Package,ChFiKPart,,ChFiKPart,,ChFiKPart,TKFillet,files=16
Package,Cocoa,,Cocoa,,Cocoa,TKService,files=2
Package,Contap,,Contap,,Contap,TKHLR,files=29
Package,Convert,,Convert,,Convert,TKMath,files=19
Package,D3DHost,,D3DHost,,D3DHost,TKD3DHost,files=4
Package,D3DHostTest,,D3DHostTest,,D3DHostTest,TKD3DHostTest,files=1
Package,DBRep,,DBRep,,DBRep,TKDraw,files=14
Package,DDF,,DDF,,DDF,TKDCAF,files=11
Package,DDataStd,,DDataStd,,DDataStd,TKDCAF,files=12
Package,DDocStd,,DDocStd,,DDocStd,TKDCAF,files=7
Package,DE,,DE,,DE,TKDE,files=8
Package,DEBREP,,DEBREP,,DEBREP,TKDECascade,files=2
Package,DEBRepCascade,,DEBRepCascade,,DEBRepCascade,TKDECascade,files=2
Package,DEGLTF,,DEGLTF,,DEGLTF,TKDEGLTF,files=2
Package,DEIGES,,DEIGES,,DEIGES,TKDEIGES,files=3
Package,DEOBJ,,DEOBJ,,DEOBJ,TKDEOBJ,files=2
Package,DEPLY,,DEPLY,,DEPLY,TKDEPLY,files=2
Package,DESTEP,,DESTEP,,DESTEP,TKDESTEP,files=3
Package,DESTL,,DESTL,,DESTL,TKDESTL,files=2
Package,DEVRML,,DEVRML,,DEVRML,TKDEVRML,files=2
Package,DEXCAF,,DEXCAF,,DEXCAF,TKDECascade,files=2
Package,DEXCAFCascade,,DEXCAFCascade,,DEXCAFCascade,TKDECascade,files=2
Package,DNaming,,DNaming,,DNaming,TKDCAF,files=18
Package,DPrsStd,,DPrsStd,,DPrsStd,TKDCAF,files=3
Package,Draft,,Draft,,Draft,TKOffset,files=10
Package,Draw,,Draw,,Draw,TKDraw,files=45
Package,DrawDim,,DrawDim,,DrawDim,TKDCAF,files=11
Package,DrawFairCurve,,DrawFairCurve,,DrawFairCurve,TKTopTest,files=2
Package,DrawTrSurf,,DrawTrSurf,,DrawTrSurf,TKDraw,files=18
Package,DsgPrs,,DsgPrs,,DsgPrs,TKV3d,files=26
Package,ElCLib,,ElCLib,,ElCLib,TKMath,files=1
Package,ElSLib,,ElSLib,,ElSLib,TKMath,files=1
Package,Expr,,Expr,,Expr,TKExpress,files=65
Package,ExprIntrp,,ExprIntrp,,ExprIntrp,TKExpress,files=18
Package,Express,,Express,,Express,TKExpress,files=30
Package,Extrema,,Extrema,,Extrema,TKGeomBase,files=106
Package,FEmTool,,FEmTool,,FEmTool,TKGeomBase,files=14
Package,FSD,,FSD,,FSD,TKernel,files=7
Package,FairCurve,,FairCurve,,FairCurve,TKGeomAlgo,files=12
Package,FilletSurf,,FilletSurf,,FilletSurf,TKFillet,files=5
Package,FlexLexer,,FlexLexer,,FlexLexer,TKernel,files=0
Package,Font,,Font,,Font,TKService,files=14
Package,GC,,GC,,GC,TKGeomBase,files=19
Package,GCE2d,,GCE2d,,GCE2d,TKGeomBase,files=15
Package,GCPnts,,GCPnts,,GCPnts,TKGeomBase,files=11
Package,GProp,,GProp,,GProp,TKG3d,files=11
Package,GccAna,,GccAna,,GccAna,TKGeomAlgo,files=46
Package,GccEnt,,GccEnt,,GccEnt,TKGeomAlgo,files=6
Package,GccInt,,GccInt,,GccInt,TKGeomAlgo,files=8
Package,Geom,,Geom,,Geom,TKG3d,files=44
Package,Geom2d,,Geom2d,,Geom2d,TKG2d,files=23
Package,Geom2dAPI,,Geom2dAPI,,Geom2dAPI,TKGeomAlgo,files=5
Package,Geom2dAdaptor,,Geom2dAdaptor,,Geom2dAdaptor,TKG2d,files=2
Package,Geom2dConvert,,Geom2dConvert,,Geom2dConvert,TKGeomBase,files=8
Package,Geom2dEvaluator,,Geom2dEvaluator,,Geom2dEvaluator,TKG2d,files=3
Package,Geom2dGcc,,Geom2dGcc,,Geom2dGcc,TKGeomAlgo,files=29
Package,Geom2dHatch,,Geom2dHatch,,Geom2dHatch,TKGeomAlgo,files=13
Package,Geom2dInt,,Geom2dInt,,Geom2dInt,TKGeomAlgo,files=27
Package,Geom2dLProp,,Geom2dLProp,,Geom2dLProp,TKG2d,files=7
Package,Geom2dToIGES,,Geom2dToIGES,,Geom2dToIGES,TKDEIGES,files=4
Package,GeomAPI,,GeomAPI,,GeomAPI,TKGeomAlgo,files=11
Package,GeomAbs,,GeomAbs,,GeomAbs,TKMath,files=6
Package,GeomAdaptor,,GeomAdaptor,,GeomAdaptor,TKG3d,files=5
Package,GeomConvert,,GeomConvert,,GeomConvert,TKGeomBase,files=17
Package,GeomEvaluator,,GeomEvaluator,,GeomEvaluator,TKG3d,files=6
Package,GeomFill,,GeomFill,,GeomFill,TKGeomAlgo,files=68
Package,GeomInt,,GeomInt,,GeomInt,TKGeomAlgo,files=55
Package,GeomLProp,,GeomLProp,,GeomLProp,TKG3d,files=7
Package,GeomLib,,GeomLib,,GeomLib,TKGeomBase,files=14
Package,GeomPlate,,GeomPlate,,GeomPlate,TKGeomAlgo,files=18
Package,GeomProjLib,,GeomProjLib,,GeomProjLib,TKGeomBase,files=1
Package,GeomToIGES,,GeomToIGES,,GeomToIGES,TKDEIGES,files=5
Package,GeomToStep,,GeomToStep,,GeomToStep,TKDESTEP,files=33
Package,GeomTools,,GeomTools,,GeomTools,TKGeomBase,files=6
Package,GeometryTest,,GeometryTest,,GeometryTest,TKTopTest,files=11
Package,GeomliteTest,,GeomliteTest,,GeomliteTest,TKTopTest,files=6
Package,Graphic3d,,Graphic3d,,Graphic3d,TKService,files=145
Package,HLRAlgo,,HLRAlgo,,HLRAlgo,TKHLR,files=32
Package,HLRAppli,,HLRAppli,,HLRAppli,TKHLR,files=1
Package,HLRBRep,,HLRBRep,,HLRBRep,TKHLR,files=89
Package,HLRTest,,HLRTest,,HLRTest,TKTopTest,files=6
Package,HLRTopoBRep,,HLRTopoBRep,,HLRTopoBRep,TKHLR,files=12
Package,Hatch,,Hatch,,Hatch,TKGeomAlgo,files=6
Package,HatchGen,,HatchGen,,HatchGen,TKGeomAlgo,files=9
Package,HeaderSection,,HeaderSection,,HeaderSection,TKDESTEP,files=5
Package,Hermit,,Hermit,,Hermit,TKGeomBase,files=1
Package,IFGraph,,IFGraph,,IFGraph,TKXSBase,files=11
Package,IFSelect,,IFSelect,,IFSelect,TKXSBase,files=89
Package,IGESAppli,,IGESAppli,,IGESAppli,TKDEIGES,files=49
Package,IGESBasic,,IGESBasic,,IGESBasic,TKDEIGES,files=51
Package,IGESCAFControl,,IGESCAFControl,,IGESCAFControl,TKDEIGES,files=5
Package,IGESControl,,IGESControl,,IGESControl,TKDEIGES,files=7
Package,IGESConvGeom,,IGESConvGeom,,IGESConvGeom,TKDEIGES,files=2
Package,IGESData,,IGESData,,IGESData,TKDEIGES,files=55
Package,IGESDefs,,IGESDefs,,IGESDefs,TKDEIGES,files=23
Package,IGESDimen,,IGESDimen,,IGESDimen,TKDEIGES,files=55
Package,IGESDraw,,IGESDraw,,IGESDraw,TKDEIGES,files=37
Package,IGESFile,,IGESFile,,IGESFile,TKDEIGES,files=1
Package,IGESGeom,,IGESGeom,,IGESGeom,TKDEIGES,files=57
Package,IGESGraph,,IGESGraph,,IGESGraph,TKDEIGES,files=39
Package,IGESSelect,,IGESSelect,,IGESSelect,TKDEIGES,files=49
Package,IGESSolid,,IGESSolid,,IGESSolid,TKDEIGES,files=62
Package,IGESToBRep,,IGESToBRep,,IGESToBRep,TKDEIGES,files=12
Package,IMeshData,,IMeshData,,IMeshData,TKMesh,files=13
Package,IMeshTools,,IMeshTools,,IMeshTools,TKMesh,files=11
Package,IVtk,,IVtk,,IVtk,TKIVtk,files=6
Package,IVtkDraw,,IVtkDraw,,IVtkDraw,TKIVtkDraw,files=3
Package,IVtkOCC,,IVtkOCC,,IVtkOCC,TKIVtk,files=5
Package,IVtkTools,,IVtkTools,,IVtkTools,TKIVtk,files=6
Package,IVtkVTK,,IVtkVTK,,IVtkVTK,TKIVtk,files=2
Package,Image,,Image,,Image,TKService,files=13
Package,IntAna,,IntAna,,IntAna,TKGeomBase,files=10
Package,IntAna2d,,IntAna2d,,IntAna2d,TKGeomBase,files=12
Package,IntCurve,,IntCurve,,IntCurve,TKGeomAlgo,files=11
Package,IntCurveSurface,,IntCurveSurface,,IntCurveSurface,TKGeomAlgo,files=27
Package,IntCurvesFace,,IntCurvesFace,,IntCurvesFace,TKTopAlgo,files=2
Package,IntImp,,IntImp,,IntImp,TKGeomAlgo,files=2
Package,IntImpParGen,,IntImpParGen,,IntImpParGen,TKGeomAlgo,files=3
Package,IntPatch,,IntPatch,,IntPatch,TKGeomAlgo,files=51
Package,IntPolyh,,IntPolyh,,IntPolyh,TKGeomAlgo,files=19
Package,IntRes2d,,IntRes2d,,IntRes2d,TKGeomAlgo,files=10
Package,IntStart,,IntStart,,IntStart,TKGeomAlgo,files=1
Package,IntSurf,,IntSurf,,IntSurf,TKGeomAlgo,files=20
Package,IntTools,,IntTools,,IntTools,TKBO,files=44
Package,IntWalk,,IntWalk,,IntWalk,TKGeomAlgo,files=8
Package,Interface,,Interface,,Interface,TKXSBase,files=73
Package,Intf,,Intf,,Intf,TKGeomAlgo,files=13
Package,Intrv,,Intrv,,Intrv,TKHLR,files=4
Package,LDOM,,LDOM,,LDOM,TKCDF,files=21
Package,LProp,,LProp,,LProp,TKG2d,files=7
Package,LProp3d,,LProp3d,,LProp3d,TKG3d,files=6
Package,Law,,Law,,Law,TKGeomAlgo,files=13
Package,LibCtl,,LibCtl,,LibCtl,TKXSBase,files=0
Package,LocOpe,,LocOpe,,LocOpe,TKFeat,files=28
Package,LocalAnalysis,,LocalAnalysis,,LocalAnalysis,TKGeomAlgo,files=4
Package,MAT,,MAT,,MAT,TKTopAlgo,files=26
Package,MAT2d,,MAT2d,,MAT2d,TKTopAlgo,files=25
Package,Media,,Media,,Media,TKService,files=9
Package,MeshTest,,MeshTest,,MeshTest,TKTopTest,files=4
Package,MeshVS,,MeshVS,,MeshVS,TKMeshVS,files=59
Package,Message,,Message,,Message,TKernel,files=34
Package,MoniTool,,MoniTool,,MoniTool,TKXSBase,files=24
Package,NCollection,,NCollection,,NCollection,TKernel,files=61
Package,NLPlate,,NLPlate,,NLPlate,TKGeomAlgo,files=12
Package,OSD,,OSD,,OSD,TKernel,files=68
Package,OpenGl,,OpenGl,,OpenGl,TKOpenGles,files=99
Package,OpenGlTest,,OpenGlTest,,OpenGlTest,TKOpenGlTest,files=2
Package,PCDM,,PCDM,,PCDM,TKCDF,files=19
Package,PLib,,PLib,,PLib,TKMath,files=5
Package,Plate,,Plate,,Plate,TKGeomAlgo,files=18
Package,Plugin,,Plugin,,Plugin,TKernel,files=5
Package,Poly,,Poly,,Poly,TKMath,files=21
Package,Precision,,Precision,,Precision,TKernel,files=1
Package,ProjLib,,ProjLib,,ProjLib,TKGeomBase,files=19
Package,Prs3d,,Prs3d,,Prs3d,TKV3d,files=41
Package,PrsDim,,PrsDim,,PrsDim,TKV3d,files=32
Package,PrsMgr,,PrsMgr,,PrsMgr,TKV3d,files=10
Package,QABugs,,QABugs,,QABugs,TKQADraw,files=22
Package,QADNaming,,QADNaming,,QADNaming,TKQADraw,files=6
Package,QADraw,,QADraw,,QADraw,TKQADraw,files=2
Package,QANCollection,,QANCollection,,QANCollection,TKQADraw,files=14
Package,Quantity,,Quantity,,Quantity,TKernel,files=10
Package,RWGltf,,RWGltf,,RWGltf,TKDEGLTF,files=25
Package,RWHeaderSection,,RWHeaderSection,,RWHeaderSection,TKDESTEP,files=6
Package,RWMesh,,RWMesh,,RWMesh,TKRWMesh,files=13
Package,RWObj,,RWObj,,RWObj,TKDEOBJ,files=14
Package,RWPly,,RWPly,,RWPly,TKDEPLY,files=4
Package,RWStepAP203,,RWStepAP203,,RWStepAP203,TKDESTEP,files=11
Package,RWStepAP214,,RWStepAP214,,RWStepAP214,TKDESTEP,files=29
Package,RWStepAP242,,RWStepAP242,,RWStepAP242,TKDESTEP,files=4
Package,RWStepBasic,,RWStepBasic,,RWStepBasic,TKDESTEP,files=119
Package,RWStepDimTol,,RWStepDimTol,,RWStepDimTol,TKDESTEP,files=49
Package,RWStepElement,,RWStepElement,,RWStepElement,TKDESTEP,files=15
Package,RWStepFEA,,RWStepFEA,,RWStepFEA,TKDESTEP,files=52
Package,RWStepGeom,,RWStepGeom,,RWStepGeom,TKDESTEP,files=83
Package,RWStepKinematics,,RWStepKinematics,,RWStepKinematics,TKDESTEP,files=74
Package,RWStepRepr,,RWStepRepr,,RWStepRepr,TKDESTEP,files=70
Package,RWStepShape,,RWStepShape,,RWStepShape,TKDESTEP,files=91
Package,RWStepVisual,,RWStepVisual,,RWStepVisual,TKDESTEP,files=97
Package,RWStl,,RWStl,,RWStl,TKDESTL,files=4
Package,Resource,,Resource,,Resource,TKernel,files=8
Package,STEPCAFControl,,STEPCAFControl,,STEPCAFControl,TKDESTEP,files=20
Package,STEPConstruct,,STEPConstruct,,STEPConstruct,TKDESTEP,files=15
Package,STEPControl,,STEPControl,,STEPControl,TKDESTEP,files=6
Package,STEPEdit,,STEPEdit,,STEPEdit,TKDESTEP,files=3
Package,STEPSelections,,STEPSelections,,STEPSelections,TKDESTEP,files=13
Package,SWDRAW,,SWDRAW,,SWDRAW,TKTopTest,files=9
Package,Select3D,,Select3D,,Select3D,TKV3d,files=25
Package,SelectBasics,,SelectBasics,,SelectBasics,TKV3d,files=5
Package,SelectMgr,,SelectMgr,,SelectMgr,TKV3d,files=43
Package,ShapeAlgo,,ShapeAlgo,,ShapeAlgo,TKShHealing,files=3
Package,ShapeAnalysis,,ShapeAnalysis,,ShapeAnalysis,TKShHealing,files=23
Package,ShapeBuild,,ShapeBuild,,ShapeBuild,TKShHealing,files=4
Package,ShapeConstruct,,ShapeConstruct,,ShapeConstruct,TKShHealing,files=4
Package,ShapeCustom,,ShapeCustom,,ShapeCustom,TKShHealing,files=12
Package,ShapeExtend,,ShapeExtend,,ShapeExtend,TKShHealing,files=13
Package,ShapeFix,,ShapeFix,,ShapeFix,TKShHealing,files=26
Package,ShapePersistent,,ShapePersistent,,ShapePersistent,TKStd,files=13
Package,ShapeProcess,,ShapeProcess,,ShapeProcess,TKShHealing,files=7
Package,ShapeProcessAPI,,ShapeProcessAPI,,ShapeProcessAPI,TKShHealing,files=1
Package,ShapeUpgrade,,ShapeUpgrade,,ShapeUpgrade,TKShHealing,files=33
Package,Standard,,Standard,,Standard,TKernel,files=81
Package,StdDrivers,,StdDrivers,,StdDrivers,TKStd,files=2
Package,StdFail,,StdFail,,StdFail,TKernel,files=5
Package,StdLDrivers,,StdLDrivers,,StdLDrivers,TKStdL,files=2
Package,StdLPersistent,,StdLPersistent,,StdLPersistent,TKStdL,files=16
Package,StdObjMgt,,StdObjMgt,,StdObjMgt,TKStdL,files=7
Package,StdObject,,StdObject,,StdObject,TKStd,files=7
Package,StdPersistent,,StdPersistent,,StdPersistent,TKStd,files=9
Package,StdPrs,,StdPrs,,StdPrs,TKV3d,files=28
Package,StdSelect,,StdSelect,,StdSelect,TKV3d,files=11
Package,StdStorage,,StdStorage,,StdStorage,TKStd,files=11
Package,StepAP203,,StepAP203,,StepAP203,TKDESTEP,files=41
Package,StepAP209,,StepAP209,,StepAP209,TKDESTEP,files=1
Package,StepAP214,,StepAP214,,StepAP214,TKDESTEP,files=80
Package,StepAP242,,StepAP242,,StepAP242,TKDESTEP,files=6
Package,StepBasic,,StepBasic,,StepBasic,TKDESTEP,files=168
Package,StepData,,StepData,,StepData,TKDESTEP,files=45
Package,StepDimTol,,StepDimTol,,StepDimTol,TKDESTEP,files=76
Package,StepElement,,StepElement,,StepElement,TKDESTEP,files=67
Package,StepFEA,,StepFEA,,StepFEA,TKDESTEP,files=87
Package,StepFile,,StepFile,,StepFile,TKDESTEP,files=2
Package,StepGeom,,StepGeom,,StepGeom,TKDESTEP,files=115
Package,StepKinematics,,StepKinematics,,StepKinematics,TKDESTEP,files=86
Package,StepRepr,,StepRepr,,StepRepr,TKDESTEP,files=97
Package,StepSelect,,StepSelect,,StepSelect,TKDESTEP,files=8
Package,StepShape,,StepShape,,StepShape,TKDESTEP,files=127
Package,StepToGeom,,StepToGeom,,StepToGeom,TKDESTEP,files=1
Package,StepToTopoDS,,StepToTopoDS,,StepToTopoDS,TKDESTEP,files=38
Package,StepVisual,,StepVisual,,StepVisual,TKDESTEP,files=179
Package,StlAPI,,StlAPI,,StlAPI,TKDESTL,files=3
Package,Storage,,Storage,,Storage,TKernel,files=38
Package,Sweep,,Sweep,,Sweep,TKPrim,files=3
Package,TColGeom,,TColGeom,,TColGeom,TKG3d,files=16
Package,TColGeom2d,,TColGeom2d,,TColGeom2d,TKG2d,files=11
Package,TColStd,,TColStd,,TColStd,TKernel,files=82
Package,TColgp,,TColgp,,TColgp,TKMath,files=58
Package,TCollection,,TCollection,,TCollection,TKernel,files=5
Package,TDF,,TDF,,TDF,TKLCAF,files=66
Package,TDataStd,,TDataStd,,TDataStd,TKLCAF,files=60
Package,TDataXtd,,TDataXtd,,TDataXtd,TKCAF,files=17
Package,TDocStd,,TDocStd,,TDocStd,TKLCAF,files=20
Package,TFunction,,TFunction,,TFunction,TKLCAF,files=17
Package,TNaming,,TNaming,,TNaming,TKCAF,files=42
Package,TObj,,TObj,,TObj,TKTObj,files=24
