Order,Level,Toolkit,Package,Class Name,Note
47,0,TKBin,BinMNaming,BinMNaming,Ready
48,0,TKBinL,BinLDrivers,BinLDrivers,Ready
49,0,TKBinL,BinMDF,BinMDF,Ready
50,0,TKBinL,BinMDataStd,BinMDataStd,Ready
51,0,TKBinL,BinMDocStd,BinMDocStd,Ready
52,0,TKBinL,BinMFunction,BinMFunction,Ready
53,0,TKBinTObj,BinTObjDrivers,BinTObjDrivers,Ready
54,0,TKBinXCAF,BinMXCAFDoc,BinMXCAFDoc,Ready
55,0,TKBinXCAF,BinXCAFDrivers,BinXCAFDrivers,Ready
56,0,TKBool,BRepAlgo,BRepAlgo,Ready
57,0,TKBool,BRepAlgo,BRepAlgo_Image,Ready
58,0,TKBool,BRepFill,BRepFill,Ready
59,0,TKBool,BRepFill,BRepFill_CompatibleWires,Ready
60,0,TKBool,BRepFill,BRepFill_OffsetAncestors,Ready
61,0,TKBool,TopOpeBRep,TopOpeBRep,Ready
62,0,TKBool,TopOpeBRep,TopOpeBRep_Bipoint,Ready
63,0,TKBool,TopOpeBRep,TopOpeBRep_FFTransitionTool,Ready
64,0,TKBool,TopOpeBRep,TopOpeBRep_FaceEdgeFiller,Ready
65,0,TKBool,TopOpeBRep,TopOpeBRep_GeomTool,Ready
66,0,TKBool,TopOpeBRep,TopOpeBRep_PointGeomTool,Ready
67,0,TKBool,TopOpeBRep,TopOpeBRep_VPointInterIterator,Ready
68,0,TKBool,TopOpeBRep,TopOpeBRep_WPointInter,Ready
69,0,TKBool,TopOpeBRep,TopOpeBRep_WPointInterIterator,Ready
70,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_AreaBuilder,Ready
71,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_BlockBuilder,Ready
72,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_BlockIterator,Ready
73,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_FuseFace,Ready
74,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_GIter,Ready
75,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_GTool,Ready
76,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_GTopo,Ready
77,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_LoopClassifier,Ready
78,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_LoopSet,Ready
79,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_ShellToSolid,Ready
80,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_Tools,Ready
81,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_Tools2d,Ready
82,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_WireToFace,Ready
83,0,TKBool,TopOpeBRepDS,TopOpeBRepDS,Ready
84,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_CurveExplorer,Ready
85,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_GeometryData,Ready
86,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_InterferenceIterator,Ready
87,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_InterferenceTool,Ready
88,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_ListOfShapeOn1State,Ready
89,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_Point,Ready
90,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_ShapeData,Ready
91,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_ShapeWithState,Ready
92,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_TOOL,Ready
93,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_Transition,Ready
94,0,TKBool,TopOpeBRepTool,TopOpeBRepTool,Ready
95,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_AncestorsTool,Ready
96,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_GeomTool,Ready
97,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_ShapeTool,Ready
98,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_TOOL,Ready
99,0,TKCAF,TDataXtd,TDataXtd,Ready
100,0,TKCAF,TNaming,TNaming,Ready
101,0,TKCAF,TNaming,TNaming_CopyShape,Ready
102,0,TKCAF,TNaming,TNaming_Iterator,Ready
103,0,TKCAF,TNaming,TNaming_IteratorOnShapesSet,Ready
104,0,TKCAF,TNaming,TNaming_NamingTool,Ready
105,0,TKCAF,TNaming,TNaming_NewShapeIterator,Ready
106,0,TKCAF,TNaming,TNaming_OldShapeIterator,Ready
107,0,TKCAF,TNaming,TNaming_SameShapeIterator,Ready
108,0,TKCAF,TNaming,TNaming_Scope,Ready
109,0,TKCAF,TNaming,TNaming_ShapesSet,Ready
110,0,TKCAF,TNaming,TNaming_Tool,Ready
111,0,TKCAF,TNaming,TNaming_Translator,Ready
112,0,TKCDF,CDF,CDF_DirectoryIterator,Ready
113,0,TKCDF,CDM,CDM_ReferenceIterator,Ready
114,0,TKCDF,LDOM,HashTable,Ready
115,0,TKCDF,LDOM,LDOM_BasicNode,Ready
116,0,TKCDF,LDOM,LDOM_CharReference,Ready
117,0,TKCDF,LDOM,LDOM_DocumentType,Ready
118,0,TKCDF,LDOM,LDOM_LDOMImplementation,Ready
119,0,TKCDF,LDOM,LDOM_SBuffer,Ready
120,0,TKCDF,LDOM,LDOM_StringElem,Ready
121,0,TKCDF,LDOM,LDOM_XmlWriter,Ready
122,0,TKCDF,LDOM,MemBlock,Ready
123,0,TKCDF,LDOM,TableItem,Ready
124,0,TKCDF,PCDM,PCDM,Ready
125,0,TKCDF,UTL,UTL,Ready
126,0,TKDCAF,DDF,DDF,Ready
127,0,TKDCAF,DDataStd,DDataStd,Ready
128,0,TKDCAF,DDocStd,DDocStd,Ready
129,0,TKDCAF,DNaming,DNaming,Ready
130,0,TKDCAF,DPrsStd,DPrsStd,Ready
131,0,TKDCAF,DrawDim,DrawDim,Ready
132,0,TKDE,DE,DE_SectionGlobal,Ready
133,0,TKDE,DE,DE_ShapeFixParameters,Ready
134,0,TKDE,DE,DE_ValidationUtils,Ready
135,0,TKDECascade,DEBREP,DEBRep_InternalSection,Ready
136,0,TKDECascade,DEXCAF,XCAFDoc_InternalSection,Ready
137,0,TKDEGLTF,RWGltf,Hasher,Ready
138,0,TKDEGLTF,RWGltf,Mesh,Ready
139,0,TKDEGLTF,RWGltf,RWGltf_DracoParameters,Ready
140,0,TKDEGLTF,RWGltf,RWGltf_GltfAccessor,Ready
141,0,TKDEGLTF,RWGltf,RWGltf_GltfBufferView,Ready
142,0,TKDEGLTF,RWGltf,RWGltf_GltfOStreamWriter,Ready
143,0,TKDEGLTF,RWGltf,RWGltf_GltfSceneNodeMap,Ready
144,0,TKDEIGES,IGESAppli,IGESAppli,Ready
145,0,TKDEIGES,IGESAppli,IGESAppli_ToolDrilledHole,Ready
146,0,TKDEIGES,IGESAppli,IGESAppli_ToolElementResults,Ready
147,0,TKDEIGES,IGESAppli,IGESAppli_ToolFiniteElement,Ready
148,0,TKDEIGES,IGESAppli,IGESAppli_ToolFlow,Ready
149,0,TKDEIGES,IGESAppli,IGESAppli_ToolFlowLineSpec,Ready
150,0,TKDEIGES,IGESAppli,IGESAppli_ToolLevelFunction,Ready
151,0,TKDEIGES,IGESAppli,IGESAppli_ToolLevelToPWBLayerMap,Ready
152,0,TKDEIGES,IGESAppli,IGESAppli_ToolLineWidening,Ready
153,0,TKDEIGES,IGESAppli,IGESAppli_ToolNodalConstraint,Ready
154,0,TKDEIGES,IGESAppli,IGESAppli_ToolNodalDisplAndRot,Ready
155,0,TKDEIGES,IGESAppli,IGESAppli_ToolNodalResults,Ready
156,0,TKDEIGES,IGESAppli,IGESAppli_ToolNode,Ready
157,0,TKDEIGES,IGESAppli,IGESAppli_ToolPWBArtworkStackup,Ready
158,0,TKDEIGES,IGESAppli,IGESAppli_ToolPWBDrilledHole,Ready
159,0,TKDEIGES,IGESAppli,IGESAppli_ToolPartNumber,Ready
160,0,TKDEIGES,IGESAppli,IGESAppli_ToolPinNumber,Ready
161,0,TKDEIGES,IGESAppli,IGESAppli_ToolPipingFlow,Ready
162,0,TKDEIGES,IGESAppli,IGESAppli_ToolReferenceDesignator,Ready
163,0,TKDEIGES,IGESAppli,IGESAppli_ToolRegionRestriction,Ready
164,0,TKDEIGES,IGESBasic,IGESBasic,Ready
165,0,TKDEIGES,IGESBasic,IGESBasic_ToolAssocGroupType,Ready
166,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefFile,Ready
167,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefFileIndex,Ready
168,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefFileName,Ready
169,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefLibName,Ready
170,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefName,Ready
171,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalReferenceFile,Ready
172,0,TKDEIGES,IGESBasic,IGESBasic_ToolGroup,Ready
173,0,TKDEIGES,IGESBasic,IGESBasic_ToolGroupWithoutBackP,Ready
174,0,TKDEIGES,IGESBasic,IGESBasic_ToolHierarchy,Ready
175,0,TKDEIGES,IGESBasic,IGESBasic_ToolName,Ready
176,0,TKDEIGES,IGESBasic,IGESBasic_ToolOrderedGroup,Ready
177,0,TKDEIGES,IGESBasic,IGESBasic_ToolOrderedGroupWithoutBackP,Ready
178,0,TKDEIGES,IGESBasic,IGESBasic_ToolSingleParent,Ready
179,0,TKDEIGES,IGESBasic,IGESBasic_ToolSingularSubfigure,Ready
180,0,TKDEIGES,IGESBasic,IGESBasic_ToolSubfigureDef,Ready
181,0,TKDEIGES,IGESCAFControl,IGESCAFControl,Ready
182,0,TKDEIGES,IGESConvGeom,IGESConvGeom,Ready
183,0,TKDEIGES,IGESData,IGESData,Ready
184,0,TKDEIGES,IGESData,IGESData_DefSwitch,Ready
185,0,TKDEIGES,IGESData,IGESData_DirChecker,Ready
186,0,TKDEIGES,IGESData,IGESData_DirPart,Ready
187,0,TKDEIGES,IGESData,IGESData_IGESType,Ready
188,0,TKDEIGES,IGESData,IGESData_ParamCursor,Ready
189,0,TKDEIGES,IGESDefs,IGESDefs,Ready
190,0,TKDEIGES,IGESDefs,IGESDefs_ToolAssociativityDef,Ready
191,0,TKDEIGES,IGESDefs,IGESDefs_ToolAttributeDef,Ready
192,0,TKDEIGES,IGESDefs,IGESDefs_ToolAttributeTable,Ready
193,0,TKDEIGES,IGESDefs,IGESDefs_ToolGenericData,Ready
194,0,TKDEIGES,IGESDefs,IGESDefs_ToolMacroDef,Ready
195,0,TKDEIGES,IGESDefs,IGESDefs_ToolTabularData,Ready
196,0,TKDEIGES,IGESDefs,IGESDefs_ToolUnitsData,Ready
197,0,TKDEIGES,IGESDimen,IGESDimen,Ready
198,0,TKDEIGES,IGESDimen,IGESDimen_ToolAngularDimension,Ready
199,0,TKDEIGES,IGESDimen,IGESDimen_ToolBasicDimension,Ready
200,0,TKDEIGES,IGESDimen,IGESDimen_ToolCenterLine,Ready
201,0,TKDEIGES,IGESDimen,IGESDimen_ToolCurveDimension,Ready
202,0,TKDEIGES,IGESDimen,IGESDimen_ToolDiameterDimension,Ready
203,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionDisplayData,Ready
204,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionTolerance,Ready
205,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionUnits,Ready
206,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionedGeometry,Ready
207,0,TKDEIGES,IGESDimen,IGESDimen_ToolFlagNote,Ready
208,0,TKDEIGES,IGESDimen,IGESDimen_ToolGeneralLabel,Ready
209,0,TKDEIGES,IGESDimen,IGESDimen_ToolGeneralNote,Ready
210,0,TKDEIGES,IGESDimen,IGESDimen_ToolGeneralSymbol,Ready
211,0,TKDEIGES,IGESDimen,IGESDimen_ToolLeaderArrow,Ready
212,0,TKDEIGES,IGESDimen,IGESDimen_ToolLinearDimension,Ready
213,0,TKDEIGES,IGESDimen,IGESDimen_ToolNewDimensionedGeometry,Ready
214,0,TKDEIGES,IGESDimen,IGESDimen_ToolNewGeneralNote,Ready
215,0,TKDEIGES,IGESDimen,IGESDimen_ToolOrdinateDimension,Ready
216,0,TKDEIGES,IGESDimen,IGESDimen_ToolPointDimension,Ready
217,0,TKDEIGES,IGESDimen,IGESDimen_ToolRadiusDimension,Ready
218,0,TKDEIGES,IGESDimen,IGESDimen_ToolSection,Ready
219,0,TKDEIGES,IGESDimen,IGESDimen_ToolSectionedArea,Ready
220,0,TKDEIGES,IGESDimen,IGESDimen_ToolWitnessLine,Ready
221,0,TKDEIGES,IGESDraw,IGESDraw,Ready
222,0,TKDEIGES,IGESDraw,IGESDraw_ToolCircArraySubfigure,Ready
223,0,TKDEIGES,IGESDraw,IGESDraw_ToolConnectPoint,Ready
224,0,TKDEIGES,IGESDraw,IGESDraw_ToolDrawing,Ready
225,0,TKDEIGES,IGESDraw,IGESDraw_ToolDrawingWithRotation,Ready
226,0,TKDEIGES,IGESDraw,IGESDraw_ToolLabelDisplay,Ready
227,0,TKDEIGES,IGESDraw,IGESDraw_ToolNetworkSubfigure,Ready
228,0,TKDEIGES,IGESDraw,IGESDraw_ToolNetworkSubfigureDef,Ready
229,0,TKDEIGES,IGESDraw,IGESDraw_ToolPerspectiveView,Ready
230,0,TKDEIGES,IGESDraw,IGESDraw_ToolPlanar,Ready
231,0,TKDEIGES,IGESDraw,IGESDraw_ToolRectArraySubfigure,Ready
232,0,TKDEIGES,IGESDraw,IGESDraw_ToolSegmentedViewsVisible,Ready
233,0,TKDEIGES,IGESDraw,IGESDraw_ToolView,Ready
234,0,TKDEIGES,IGESDraw,IGESDraw_ToolViewsVisible,Ready
235,0,TKDEIGES,IGESDraw,IGESDraw_ToolViewsVisibleWithAttr,Ready
236,0,TKDEIGES,IGESGeom,IGESGeom,Ready
237,0,TKDEIGES,IGESGeom,IGESGeom_ToolBSplineCurve,Ready
238,0,TKDEIGES,IGESGeom,IGESGeom_ToolBSplineSurface,Ready
239,0,TKDEIGES,IGESGeom,IGESGeom_ToolBoundary,Ready
240,0,TKDEIGES,IGESGeom,IGESGeom_ToolBoundedSurface,Ready
241,0,TKDEIGES,IGESGeom,IGESGeom_ToolCircularArc,Ready
242,0,TKDEIGES,IGESGeom,IGESGeom_ToolCompositeCurve,Ready
243,0,TKDEIGES,IGESGeom,IGESGeom_ToolConicArc,Ready
244,0,TKDEIGES,IGESGeom,IGESGeom_ToolCopiousData,Ready
245,0,TKDEIGES,IGESGeom,IGESGeom_ToolCurveOnSurface,Ready
246,0,TKDEIGES,IGESGeom,IGESGeom_ToolDirection,Ready
247,0,TKDEIGES,IGESGeom,IGESGeom_ToolFlash,Ready
248,0,TKDEIGES,IGESGeom,IGESGeom_ToolLine,Ready
249,0,TKDEIGES,IGESGeom,IGESGeom_ToolOffsetCurve,Ready
250,0,TKDEIGES,IGESGeom,IGESGeom_ToolOffsetSurface,Ready
251,0,TKDEIGES,IGESGeom,IGESGeom_ToolPlane,Ready
252,0,TKDEIGES,IGESGeom,IGESGeom_ToolPoint,Ready
253,0,TKDEIGES,IGESGeom,IGESGeom_ToolRuledSurface,Ready
254,0,TKDEIGES,IGESGeom,IGESGeom_ToolSplineCurve,Ready
255,0,TKDEIGES,IGESGeom,IGESGeom_ToolSplineSurface,Ready
256,0,TKDEIGES,IGESGeom,IGESGeom_ToolSurfaceOfRevolution,Ready
257,0,TKDEIGES,IGESGeom,IGESGeom_ToolTabulatedCylinder,Ready
258,0,TKDEIGES,IGESGeom,IGESGeom_ToolTransformationMatrix,Ready
259,0,TKDEIGES,IGESGeom,IGESGeom_ToolTrimmedSurface,Ready
260,0,TKDEIGES,IGESGraph,IGESGraph,Ready
261,0,TKDEIGES,IGESGraph,IGESGraph_ToolColor,Ready
262,0,TKDEIGES,IGESGraph,IGESGraph_ToolDefinitionLevel,Ready
263,0,TKDEIGES,IGESGraph,IGESGraph_ToolDrawingSize,Ready
264,0,TKDEIGES,IGESGraph,IGESGraph_ToolDrawingUnits,Ready
265,0,TKDEIGES,IGESGraph,IGESGraph_ToolHighLight,Ready
266,0,TKDEIGES,IGESGraph,IGESGraph_ToolIntercharacterSpacing,Ready
267,0,TKDEIGES,IGESGraph,IGESGraph_ToolLineFontDefPattern,Ready
268,0,TKDEIGES,IGESGraph,IGESGraph_ToolLineFontDefTemplate,Ready
269,0,TKDEIGES,IGESGraph,IGESGraph_ToolLineFontPredefined,Ready
270,0,TKDEIGES,IGESGraph,IGESGraph_ToolNominalSize,Ready
271,0,TKDEIGES,IGESGraph,IGESGraph_ToolPick,Ready
272,0,TKDEIGES,IGESGraph,IGESGraph_ToolTextDisplayTemplate,Ready
273,0,TKDEIGES,IGESGraph,IGESGraph_ToolTextFontDef,Ready
274,0,TKDEIGES,IGESGraph,IGESGraph_ToolUniformRectGrid,Ready
275,0,TKDEIGES,IGESSelect,IGESSelect,Ready
276,0,TKDEIGES,IGESSolid,IGESSolid,Ready
277,0,TKDEIGES,IGESSolid,IGESSolid_ToolBlock,Ready
278,0,TKDEIGES,IGESSolid,IGESSolid_ToolBooleanTree,Ready
279,0,TKDEIGES,IGESSolid,IGESSolid_ToolConeFrustum,Ready
280,0,TKDEIGES,IGESSolid,IGESSolid_ToolConicalSurface,Ready
281,0,TKDEIGES,IGESSolid,IGESSolid_ToolCylinder,Ready
282,0,TKDEIGES,IGESSolid,IGESSolid_ToolCylindricalSurface,Ready
283,0,TKDEIGES,IGESSolid,IGESSolid_ToolEdgeList,Ready
284,0,TKDEIGES,IGESSolid,IGESSolid_ToolEllipsoid,Ready
285,0,TKDEIGES,IGESSolid,IGESSolid_ToolFace,Ready
286,0,TKDEIGES,IGESSolid,IGESSolid_ToolLoop,Ready
287,0,TKDEIGES,IGESSolid,IGESSolid_ToolManifoldSolid,Ready
288,0,TKDEIGES,IGESSolid,IGESSolid_ToolPlaneSurface,Ready
289,0,TKDEIGES,IGESSolid,IGESSolid_ToolRightAngularWedge,Ready
290,0,TKDEIGES,IGESSolid,IGESSolid_ToolSelectedComponent,Ready
291,0,TKDEIGES,IGESSolid,IGESSolid_ToolShell,Ready
292,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidAssembly,Ready
293,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidInstance,Ready
294,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidOfLinearExtrusion,Ready
295,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidOfRevolution,Ready
296,0,TKDEIGES,IGESSolid,IGESSolid_ToolSphere,Ready
297,0,TKDEIGES,IGESSolid,IGESSolid_ToolSphericalSurface,Ready
298,0,TKDEIGES,IGESSolid,IGESSolid_ToolToroidalSurface,Ready
299,0,TKDEIGES,IGESSolid,IGESSolid_ToolTorus,Ready
300,0,TKDEIGES,IGESSolid,IGESSolid_ToolVertexList,Ready
301,0,TKDEIGES,IGESToBRep,IGESToBRep,Ready
302,0,TKDEOBJ,RWObj,ObjVec3iHasher,Ready
303,0,TKDEOBJ,RWObj,RWObj,Ready
304,0,TKDEOBJ,RWObj,RWObj_IShapeReceiver,Ready
305,0,TKDEOBJ,RWObj,VectorOfVertices,Ready
306,0,TKDESTEP,GeomToStep,GeomToStep_Root,Ready
307,0,TKDESTEP,HeaderSection,HeaderSection,Ready
308,0,TKDESTEP,RWHeaderSection,RWHeaderSection,Ready
309,0,TKDESTEP,RWHeaderSection,RWHeaderSection_RWFileDescription,Ready
310,0,TKDESTEP,RWHeaderSection,RWHeaderSection_RWFileName,Ready
311,0,TKDESTEP,RWHeaderSection,RWHeaderSection_RWFileSchema,Ready
312,0,TKDESTEP,STEPCAFControl,STEPCAFControl_GDTProperty,Ready
313,0,TKDESTEP,STEPConstruct,STEPConstruct,Ready
314,0,TKDESTEP,STEPEdit,STEPEdit,Ready
315,0,TKDESTEP,STEPSelections,STEPSelections_Counter,Ready
316,0,TKDESTEP,StepAP214,StepAP214,Ready
317,0,TKDESTEP,StepData,StepData,Ready
318,0,TKDESTEP,StepData,StepData_EnumTool,Ready
319,0,TKDESTEP,StepData,StepData_Factors,Ready
320,0,TKDESTEP,StepData,StepData_FieldList,Ready
321,0,TKDESTEP,StepToGeom,StepToGeom,Ready
322,0,TKDESTEP,StepToTopoDS,StepToTopoDS,Ready
323,0,TKDESTEP,StepToTopoDS,StepToTopoDS_GeometricTool,Ready
324,0,TKDESTEP,StepToTopoDS,StepToTopoDS_NMTool,Ready
325,0,TKDESTEP,StepToTopoDS,StepToTopoDS_Root,Ready
326,0,TKDESTEP,StepVisual,StepVisual_BoxCharacteristicSelect,Ready
327,0,TKDESTEP,StepVisual,StepVisual_DirectionCountSelect,Ready
328,0,TKDESTEP,TopoDSToStep,TopoDSToStep,Ready
329,0,TKDESTEP,TopoDSToStep,TopoDSToStep_FacetedTool,Ready
330,0,TKDESTEP,TopoDSToStep,TopoDSToStep_Root,Ready
331,0,TKDESTL,DESTL,RWStl_InternalSection,Ready
332,0,TKDESTL,RWStl,RWStl,Ready
333,0,TKDESTL,StlAPI,StlAPI,Ready
334,0,TKDESTL,StlAPI,StlAPI_Reader,Ready
335,0,TKDESTL,StlAPI,StlAPI_Writer,Ready
336,0,TKDEVRML,DEVRML,Vrml_InternalSection,Ready
337,0,TKDEVRML,Vrml,Vrml,Ready
338,0,TKDEVRML,Vrml,Vrml_Cone,Ready
339,0,TKDEVRML,Vrml,Vrml_Cube,Ready
340,0,TKDEVRML,Vrml,Vrml_Cylinder,Ready
341,0,TKDEVRML,Vrml,Vrml_FontStyle,Ready
342,0,TKDEVRML,Vrml,Vrml_Group,Ready
343,0,TKDEVRML,Vrml,Vrml_MaterialBinding,Ready
344,0,TKDEVRML,Vrml,Vrml_MatrixTransform,Ready
345,0,TKDEVRML,Vrml,Vrml_NormalBinding,Ready
346,0,TKDEVRML,Vrml,Vrml_PointSet,Ready
347,0,TKDEVRML,Vrml,Vrml_SFRotation,Ready
348,0,TKDEVRML,Vrml,Vrml_Scale,Ready
349,0,TKDEVRML,Vrml,Vrml_Separator,Ready
350,0,TKDEVRML,Vrml,Vrml_ShapeHints,Ready
351,0,TKDEVRML,Vrml,Vrml_Sphere,Ready
352,0,TKDEVRML,Vrml,Vrml_Switch,Ready
353,0,TKDEVRML,Vrml,Vrml_Texture2Transform,Ready
354,0,TKDEVRML,Vrml,Vrml_TransformSeparator,Ready
355,0,TKDEVRML,Vrml,Vrml_Translation,Ready
356,0,TKDEVRML,VrmlAPI,VrmlAPI,Ready
357,0,TKDEVRML,VrmlConverter,VrmlConverter_Curve,Ready
358,0,TKDEVRML,VrmlConverter,VrmlConverter_DeflectionCurve,Ready
359,0,TKDEVRML,VrmlConverter,VrmlConverter_HLRShape,Ready
360,0,TKDEVRML,VrmlConverter,VrmlConverter_ShadedShape,Ready
361,0,TKDEVRML,VrmlConverter,VrmlConverter_WFDeflectionRestrictedFace,Ready
362,0,TKDEVRML,VrmlConverter,VrmlConverter_WFDeflectionShape,Ready
363,0,TKDEVRML,VrmlConverter,VrmlConverter_WFRestrictedFace,Ready
364,0,TKDEVRML,VrmlConverter,VrmlConverter_WFShape,Ready
365,0,TKDEVRML,VrmlData,VrmlData_InBuffer,Ready
366,0,TKDEVRML,VrmlData,VrmlData_ShapeConvert,Ready
367,0,TKDraw,DBRep,DBRep,Ready
368,0,TKDraw,DBRep,DBRep_Params,Ready
369,0,TKDraw,Draw,Draw,Ready
370,0,TKDraw,Draw,Draw_Color,Ready
371,0,TKDraw,Draw,Draw_Display,Ready
372,0,TKDraw,Draw,Draw_Interpretor,Ready
373,0,TKDraw,Draw,Draw_Viewer,Ready
374,0,TKDraw,Draw,Draw_Window,Ready
375,0,TKDraw,Draw,Draw_XSegment,Ready
376,0,TKDraw,DrawTrSurf,DrawTrSurf,Ready
377,0,TKExpress,Expr,Expr,Ready
378,0,TKExpress,Expr,Expr_RUIterator,Ready
379,0,TKExpress,Expr,Expr_RelationIterator,Ready
380,0,TKExpress,Expr,Expr_UnknownIterator,Ready
381,0,TKExpress,ExprIntrp,ExprIntrp,Ready
382,0,TKExpress,Express,Express,Ready
383,0,TKFeat,BRepFeat,BRepFeat,Ready
384,0,TKFeat,LocOpe,LocOpe,Ready
385,0,TKFeat,LocOpe,LocOpe_BuildWires,Ready
386,0,TKFeat,LocOpe,LocOpe_CurveShapeIntersector,Ready
387,0,TKFillet,BRepBlend,BRepBlend_BlendTool,Ready
388,0,TKFillet,BRepBlend,BRepBlend_HCurve2dTool,Ready
389,0,TKFillet,BRepBlend,BRepBlend_HCurveTool,Ready
390,0,TKFillet,Blend,Blend_Point,Ready
391,0,TKFillet,BlendFunc,BlendFunc,Ready
392,0,TKFillet,BlendFunc,BlendFunc_Tensor,Ready
393,0,TKFillet,ChFi2d,ChFi2d,Ready
394,0,TKFillet,ChFi2d,FilletPoint,Ready
395,0,TKFillet,ChFi3d,ChFi3d,Ready
